x0;y;y_hat;right
[209,949,-375,119,763,-857,-919,-665,41,49,-951,-709,-849,589,-589,731,-367,65,167,-527,527,819,177,-507,-409,-35,-791,-413,-613,71,-627,-853,343,733,-469];35;35;True
[-861,-958,20,-171,-533,622,227,-890,-212,-722,-484,543,-657,-821,586,-332,-159,-712,-259,-883,216,508,318,790,-970,113,107,95,-914,-450,560,356,264,688,182,919,-514];14;13;False
[475,-953,255,837,771,-877,445,649,911,475];10;10;True
[339,244,-209,972,820,634,-108,810,-852,-226,165,583];4;4;True
[864,-207,733,551];3;3;True
[695,198,-395,-451,-733,-857,-457,-362,-89,382,-739,-519];9;9;True
[266,298,-167,400,636,998,-180,514,-250,-545,-442,-36,-136];2;1;False
[94,650,-665,296,194,996,-700,-802,822,594,-312,-848,-470,-596,-711,164,936,-346,292,-553,720,802,-788,-848,-462,658,98,802,-752,168,590,788,-500];3;3;True
[-718,613,-891,585,-557,539,103,-845,194,99,-877,637,917,-718,101,49,-622,445,791,633,-594,-106,73];17;17;True
[781,-323,650,332,-998,-698,820,549,-998,890,-66,-773,-614,878,36,-294,211,336,338,-594];5;5;True
[449,-579,188,-263,-551,150,855,361,-9,-385,191,755,-91,-867,-513,439,841,91,-663,631,-557,-927,851,699,431,-771,353];25;25;True
[-530,-929,-416,-237,362,-924,-179,-132,321,-880,890,22,544,90,154,207,-905,-478,-625,341,-123,278,-320,12,931,-170,-958,-44,285,838,-638,-713,74,-412,-319,-515,-369,563,24,68,89,-444,-22,-498,879];18;17;False
[-80,-136,-618,-840,818,-996,-926,384,-210,48,-772,600,316,34,-414,26,2,912,-386,304,756,-834,156,-160,-936,-458,-324,-780,508,-372,294,734,-664,186,316,168,758];0;0;True
[-538,-902,-276,174,-366,-360,-886,-946];0;0;True
[-134,198,-426,506,-74,626,-351,-380,828,664,183,-609,224,797,849,616,-486,-827,-410,-896,454,846,87,252,168,-501,252,974,-338,870,706,-868];8;8;True
[-120,678,594,-596,-850,-781,-857,816,-500,-692,396,-906,-74,51,962];3;3;True
[943,-42,961,965,-220,731,717,-852,-649,-231,-314,943,-4,-667,-366,-843,969,-405,-577,-836,122,288,-987,-223,-676,802,125,-104,-568,-793,-451,936,531,538,396,576,54];19;18;False
[-617,-575,615,77,-349,-977,-189,75,-5,1,431,-769,77,-989,-541,-963,-617,-921,539,175,13,447,57,-213,747,477,-919,619,123,-357,751,-137,-501,-257,863];35;35;True
[438,725,-656,-48,262,671,-746,-425,490,370,-948,186,412,-544,-58,536,922,457,-709,122,-270,356,304,-449,728,14,-608,-168,97,-378,340,726,459,712,129,765,930,-81,-932,968,188,-38,802,-513,-80];12;12;True
[-646,200,-166,-118,-816,-16,654,-370,386,60,398,-46,174,548,-978,-430,-38,-412,176,736,966,-976,-874,380,478,136,-670,340,-416,56,-768,444,576,920,-192];0;0;True
[-793,906,476,-525,-290,-461,-873,594,-412,237,-571,610,950,110,830,464,693,732,-430,609,-192,708,-17,532,526,-194,160,-142,854,45,695,156,417,-286,-16,-786,106,-922,-230];12;12;True
[-831,475,639,875,895,857,25,273,355,-135,935,-823,167,-663,937,-167,-539,-751,475,619,883,967,677,-339,-237,-697,217,-829,59,-347,137,695,-335,-565,-171,-435,169,761,-689,157,69,-187,-921,211,-511,-195,327,657];48;46;False
[-715,148,-266,974,-318,-670,257,366,860,662,-452,916,88,164,-896,652,-552,-224,-638,728,-200,68,-417,838,-308,-116,-582,-212,318,670,-24,-702,-560,466,884,852,-206,-490,142,10,-160,612,-558,718,616,-867,-326];4;4;True
[654,-368,-789,-429,63,-580,955,-351,217,-693,-42,-31];8;8;True
[712,-52,-218,914,-654,-520,556,930,776,362,-948,-822,234,-10,328,116,-428];0;0;True
[495,671,25,-327,-219,-381,-81,443,155,658,321,-81,720,-863,-741,25,597];15;14;False
[169,-887,685,-97,-547,569,-825];7;7;True
[520,-774,6,210,-7,284,-873,634,251,303,759,-414,-414,-40,502,-393,280,-444,553];7;7;True
[313,-285,492];2;2;True
