x0;y;y_hat;right
[-15,0,-33,-34,-50,-22,-20,-48,47,8,31,28,33,-16,31,-31,37,-34,-45,36,-23,-39,0,44,-13,-45,39,-45,-16,-40,-35,0,22,24,2,-19,0,13,-2,-36,0,17,49,49,7];40;43;False
[0,3,-24,2,34,-1,13,0,32];7;7;True
[16,28,-19,-48,31,-14,-31,32,-29,50,39,-1,21,0,0,33,0,15,-25,0,0,-38,-29,21,0];24;24;True
[-36,16,0,-15,0,-29,-8,-22,0,0,15,-42,0,20,0,38,-46];14;12;False
[29,-37,-17,34,-15,10,11,-2,0,43,33,-32,18,41,42,-15,34,0,42,-43,-9,0,24,-30,-17,40,35,-2,-7,9,24];21;24;False
[24,30,0,1,0,29,-23,-44,46,47,-22,-3,0,14,0,24,36,-46];14;11;False
[-31,37,2,-5,-1,-17,41,-31,11,7,-18,10,0,-20,-7,38,8,18,1,-16,37,16,39,3,0,26,0,44,0,10,22,-43,17,34,30,-36,22,-42,0,-21,-43,-50,-48];38;36;False
[-50,-14,-50,-10,39,0,42,-24,44,9,-43,16,0,-46,0,-20,-14,4,0,-42,0];20;20;True
[37,36,-10,36,11,23,-8,-24,-18,-13,20,39,-47,49,-24,33,0,7,-1,0,-17,38];19;15;False
[-8,28,8,-6,-11,-34,-27,9,0,24,-12,39,23,-11,-32,-1,-19,-49,-48,-18,-30,14,-14,23,-28,18,-6,21,-31,-17,32,-34,18,-34,0,6,24,-28,-32,-6,18,-1,-38,-9];34;37;False
[35,-34,0,5,-24,0,-8,-30,32,0,-14,0,-46,31,14,-20,0,19,19,-9,42,-17,-46,31,41,38,44,-24,3,40,50];16;24;False
[-45,26,-5,41,0,39,-45,-22,-25,-24,4,27,4];4;6;False
[1,-41,-45,-42,13,-39,0,-29,-19,-11,0,-3,42,13];10;9;False
[24,0,-29,0,18,46,-46,44,-42,-3,-40,-5,-44,-26,-26,41,-6,37,40,50,-38,-49,-17,-37,18,0,-40,27,25,-42,16,33,38,36,-7,0,-32,0,-12,-49,23,50];37;35;False
[7,50,0,-30,-45,0,-35,31,9,-29,-17,-44,15,-12,-50,13,-43,14,12,49,37,37,7,40,0,6,-32];24;20;False
[-15,0,33,33,42,0,0,-6,0,0];9;9;True
[-18,28,-18,-14,-39,-3,24,-45,-16,-36,0,19,-8,0];13;13;True
[40,-28,44,32,-33,25,-15,-40,38,27,0,0,34,-40,0,0,-50,-21,7,37,-39,-25,28,-34,-43,18,41,0,33,45,0,50,-33,-9,-25,-42,0,-40,50,-3,19];36;34;False
[36,0,7,0,-6,0,0,0,-15,-34,23,16,0];12;12;True
[0,50,-5,20,27,39,21,-10];0;2;False
[-44,-16,39,30,45,0,-33,-49,13,3,7,17,28,24,35,-50,29,0,-47,38,-50,4,45,-35,0,31,-31,-2,18];24;22;False
[0,-39,-43,-30,44,-30,37,16,41,-46,29,-27,22,32,-18];0;8;False
[31,-28,-13,-14,38,0,-1,20,-35,26,-49,-20,-46,-5,45,5,29,-42,0,-4,21,0,16,-8,29];21;18;False
[-17,10,-31,-18,-12,-31,39,0,15,23,0,38,-2,48,-39,8,26,21,-5,-48,19,40,41,29,-3,0,-43,46,-7,-17,4,-17,11,-31,-34,-37,-13,36];25;31;False
[-33,0,-7,15,-2,-22,13,-3,20,0,-49,43,0,-21,50,-37,12,39,-14,44];12;13;False
[-20,-13,32,-23,-9,-17,-24,46,44,-13,-11,38,36,-24,0,-3,-29,44,-5,36,-21,0,-27,1,-22,38,0,37,44,34,3,-45,25,-23,-27,24,33,5,-17,0,-48,-22,-47,-10];39;37;False
[-25,-23,-9,45,23,-27,35,-8,20,43,34,-10,6,-46,-12,-5,43,-31,33,-49,-7,31,-50,-20,0,14,42,27,39,0,-5,-39,-18,37,-31,-35,0,23,-12,-25,-5];36;34;False
