x0;y;y_hat;right
4444;"large";"large";True
9668;"large";"large";True
-4237;"small";"small";True
4171;"large";"large";True
-5829;"small";"small";True
-448;"small";"small";True
-9202;"small";"small";True
7738;"large";"large";True
2190;"large";"large";True
6870;"large";"large";True
-7010;"small";"small";True
-9862;"small";"small";True
6352;"large";"large";True
1595;"";"";True
-6454;"small";"small";True
4346;"large";"large";True
2904;"large";"large";True
-9699;"small";"small";True
5774;"large";"large";True
-6705;"small";"small";True
-1256;"small";"small";True
4450;"large";"large";True
2940;"large";"large";True
-468;"small";"small";True
7116;"large";"large";True
-4248;"small";"small";True
-2419;"small";"small";True
379;"small";"small";True
-7721;"small";"small";True
3090;"large";"large";True
4733;"large";"large";True
-1376;"small";"small";True
-4356;"small";"small";True
5642;"large";"large";True
4186;"large";"large";True
-6062;"small";"small";True
-311;"small";"small";True
2677;"large";"large";True
-848;"small";"small";True
-5229;"small";"small";True
6357;"large";"large";True
445;"small";"small";True
8703;"large";"large";True
201;"small";"small";True
-1334;"small";"small";True
-7620;"small";"small";True
-1463;"small";"small";True
3236;"large";"large";True
9450;"large";"large";True
8721;"large";"large";True
-2520;"small";"small";True
567;"small";"small";True
-7614;"small";"small";True
3897;"large";"large";True
3862;"large";"large";True
-7401;"small";"small";True
3128;"large";"large";True
-6876;"small";"small";True
7784;"large";"large";True
-2380;"small";"small";True
4962;"large";"large";True
3917;"large";"large";True
-1399;"small";"small";True
3325;"large";"large";True
-4729;"small";"small";True
4393;"large";"large";True
-8233;"small";"small";True
6351;"large";"large";True
9934;"large";"large";True
1696;"";"";True
1485;"";"";True
2267;"large";"large";True
-8880;"small";"small";True
3576;"large";"large";True
6929;"large";"large";True
9245;"large";"large";True
-2137;"small";"small";True
-4674;"small";"small";True
8578;"large";"large";True
5449;"large";"large";True
3828;"large";"large";True
-889;"small";"small";True
8284;"large";"large";True
-6364;"small";"small";True
-668;"small";"small";True
-9762;"small";"small";True
2819;"large";"large";True
-667;"small";"small";True
4459;"large";"large";True
4980;"large";"large";True
9340;"large";"large";True
-4691;"small";"small";True
-7172;"small";"small";True
8011;"large";"large";True
6662;"large";"large";True
-8093;"small";"small";True
-5437;"small";"small";True
3223;"large";"large";True
2770;"large";"large";True
745;"small";"small";True
8064;"large";"large";True
-3363;"small";"small";True
4629;"large";"large";True
5105;"large";"large";True
2337;"large";"large";True
7780;"large";"large";True
-7133;"small";"small";True
5994;"large";"large";True
-9331;"small";"small";True
-5318;"small";"small";True
-5700;"small";"small";True
3460;"large";"large";True
3270;"large";"large";True
-3837;"small";"small";True
-9467;"small";"small";True
-2187;"small";"small";True
8488;"large";"large";True
2283;"large";"large";True
8136;"large";"large";True
-7014;"small";"small";True
2217;"large";"large";True
-1833;"small";"small";True
-8264;"small";"small";True
-5678;"small";"small";True
-3848;"small";"small";True
-7563;"small";"small";True
5545;"large";"large";True
-2559;"small";"small";True
8557;"large";"large";True
8222;"large";"large";True
-5657;"small";"small";True
3921;"large";"large";True
8821;"large";"large";True
-8478;"small";"small";True
42;"small";"small";True
-5378;"small";"small";True
7445;"large";"large";True
-9998;"small";"small";True
-8503;"small";"small";True
5671;"large";"large";True
2195;"large";"large";True
-6863;"small";"small";True
1839;"";"";True
7111;"large";"large";True
-9909;"small";"small";True
-8658;"small";"small";True
-3664;"small";"small";True
5062;"large";"large";True
-7192;"small";"small";True
-252;"small";"small";True
4200;"large";"large";True
-9611;"small";"small";True
3265;"large";"large";True
5373;"large";"large";True
-8997;"small";"small";True
8028;"large";"large";True
5591;"large";"large";True
6544;"large";"large";True
-2136;"small";"small";True
-2280;"small";"small";True
-869;"small";"small";True
-8251;"small";"small";True
4745;"large";"large";True
-6525;"small";"small";True
2823;"large";"large";True
-6587;"small";"small";True
-4782;"small";"small";True
-8584;"small";"small";True
-5968;"small";"small";True
-8974;"small";"small";True
1505;"";"";True
-2191;"small";"small";True
-9958;"small";"small";True
2865;"large";"large";True
-2663;"small";"small";True
-7359;"small";"small";True
-9333;"small";"small";True
-4568;"small";"small";True
-9946;"small";"small";True
-6867;"small";"small";True
-9136;"small";"small";True
-3231;"small";"small";True
-6246;"small";"small";True
3518;"large";"large";True
-9391;"small";"small";True
3733;"large";"large";True
9149;"large";"large";True
-9346;"small";"small";True
8609;"large";"large";True
7280;"large";"large";True
-4198;"small";"small";True
600;"small";"small";True
4536;"large";"large";True
1193;"";"";True
1442;"";"";True
-87;"small";"small";True
8860;"large";"large";True
-5306;"small";"small";True
958;"small";"small";True
9804;"large";"large";True
-2171;"small";"small";True
-6109;"small";"small";True
-3996;"small";"small";True
8093;"large";"large";True
1697;"";"";True
1015;"";"";True
-3002;"small";"small";True
2051;"large";"large";True
7407;"large";"large";True
4228;"large";"large";True
-1942;"small";"small";True
7261;"large";"large";True
-1514;"small";"small";True
-947;"small";"small";True
-9299;"small";"small";True
5831;"large";"large";True
4027;"large";"large";True
117;"small";"small";True
-3708;"small";"small";True
1444;"";"";True
5358;"large";"large";True
129;"small";"small";True
-3464;"small";"small";True
-1029;"small";"small";True
7037;"large";"large";True
-5340;"small";"small";True
-8461;"small";"small";True
-5352;"small";"small";True
-8211;"small";"small";True
-6684;"small";"small";True
4975;"large";"large";True
-4755;"small";"small";True
8104;"large";"large";True
-4103;"small";"small";True
1199;"";"";True
-2726;"small";"small";True
-3746;"small";"small";True
452;"small";"small";True
-5040;"small";"small";True
-9901;"small";"small";True
8892;"large";"large";True
8580;"large";"large";True
9302;"large";"large";True
-2081;"small";"small";True
-3725;"small";"small";True
4091;"large";"large";True
7405;"large";"large";True
-8182;"small";"small";True
-8159;"small";"small";True
-637;"small";"small";True
-4162;"small";"small";True
2402;"large";"large";True
-8257;"small";"small";True
6812;"large";"large";True
798;"small";"small";True
1169;"";"";True
-9259;"small";"small";True
-5604;"small";"small";True
9486;"large";"large";True
182;"small";"small";True
-6161;"small";"small";True
1064;"";"";True
7049;"large";"large";True
-3152;"small";"small";True
5150;"large";"large";True
-7149;"small";"small";True
6995;"large";"large";True
7956;"large";"large";True
-5945;"small";"small";True
-9282;"small";"small";True
1798;"";"";True
-8705;"small";"small";True
598;"small";"small";True
-175;"small";"small";True
9537;"large";"large";True
-4498;"small";"small";True
-2707;"small";"small";True
-8410;"small";"small";True
-1635;"small";"small";True
2035;"large";"large";True
-150;"small";"small";True
2215;"large";"large";True
-5453;"small";"small";True
2765;"large";"large";True
6697;"large";"large";True
-7622;"small";"small";True
7904;"large";"large";True
-9001;"small";"small";True
2083;"large";"large";True
893;"small";"small";True
-4616;"small";"small";True
8082;"large";"large";True
-9720;"small";"small";True
9437;"large";"large";True
6430;"large";"large";True
-4120;"small";"small";True
6631;"large";"large";True
3534;"large";"large";True
-8472;"small";"small";True
9629;"large";"large";True
489;"small";"small";True
1028;"";"";True
-9570;"small";"small";True
2183;"large";"large";True
-4385;"small";"small";True
3997;"large";"large";True
1852;"";"";True
5151;"large";"large";True
-3693;"small";"small";True
8855;"large";"large";True
8340;"large";"large";True
-7148;"small";"small";True
3865;"large";"large";True
3356;"large";"large";True
-1046;"small";"small";True
-4889;"small";"small";True
2351;"large";"large";True
-451;"small";"small";True
-4014;"small";"small";True
9463;"large";"large";True
-8609;"small";"small";True
4083;"large";"large";True
5981;"large";"large";True
4123;"large";"large";True
708;"small";"small";True
-1201;"small";"small";True
-6235;"small";"small";True
-735;"small";"small";True
7402;"large";"large";True
48;"small";"small";True
5732;"large";"large";True
-212;"small";"small";True
5912;"large";"large";True
3992;"large";"large";True
6362;"large";"large";True
-9504;"small";"small";True
-8101;"small";"small";True
3785;"large";"large";True
9393;"large";"large";True
781;"small";"small";True
6067;"large";"large";True
-2673;"small";"small";True
-1216;"small";"small";True
-6468;"small";"small";True
-9227;"small";"small";True
8561;"large";"large";True
5351;"large";"large";True
4313;"large";"large";True
-3905;"small";"small";True
-3389;"small";"small";True
-7238;"small";"small";True
-3197;"small";"small";True
9101;"large";"large";True
-7668;"small";"small";True
594;"small";"small";True
-421;"small";"small";True
-2453;"small";"small";True
-7323;"small";"small";True
7900;"large";"large";True
1502;"";"";True
7899;"large";"large";True
-3159;"small";"small";True
7041;"large";"large";True
5601;"large";"large";True
-829;"small";"small";True
-6064;"small";"small";True
-1024;"small";"small";True
-4140;"small";"small";True
6642;"large";"large";True
-2068;"small";"small";True
-6398;"small";"small";True
-4650;"small";"small";True
-5393;"small";"small";True
-1408;"small";"small";True
-5970;"small";"small";True
1156;"";"";True
2887;"large";"large";True
-4448;"small";"small";True
2343;"large";"large";True
9390;"large";"large";True
-1605;"small";"small";True
4224;"large";"large";True
-4244;"small";"small";True
-9847;"small";"small";True
8057;"large";"large";True
2441;"large";"large";True
3246;"large";"large";True
3606;"large";"large";True
4191;"large";"large";True
-9208;"small";"small";True
-4935;"small";"small";True
-8921;"small";"small";True
-2157;"small";"small";True
8330;"large";"large";True
7168;"large";"large";True
-5578;"small";"small";True
-7994;"small";"small";True
-1914;"small";"small";True
-7882;"small";"small";True
-3946;"small";"small";True
9658;"large";"large";True
-2183;"small";"small";True
-7638;"small";"small";True
-5648;"small";"small";True
7148;"large";"large";True
-2497;"small";"small";True
-247;"small";"small";True
-2374;"small";"small";True
4522;"large";"large";True
