x0;y;y_hat;right
[-629.1453,146.66747,544.27295,-486.67712,-103.296455,240.89777,-856.70776,706.4399,-988.66345,-980.6945,683.2732,-797.6983,-243.7074,-874.9468,317.3634,-61.292404,-478.6987,-936.3196,-539.685,900.7743,-739.0401,521.0642,29.648642,698.0717,438.073,-760.1531,-1.4051617,27.77066,186.63773,-751.4211,-61.636703,-302.06525,-740.28107,825.72];-149.0253;-149.02533;False
[648.5155,878.4941,-862.2154,-745.30115,-896.49884,428.0175,-542.3216,549.39044,157.03941,-571.45984,879.3168,-710.21216];-65.60294;-65.60295;False
[922.54144];922.54144;922.54144;True
[446.65137,915.1516,109.27007,-728.25977,361.6068,875.32544,-619.51636,-449.4843,-112.25856];88.720695;88.720695;True
[-681.96484,-496.08304,887.8908,665.5908];93.85844;93.858444;False
[926.19055];926.19055;926.19055;True
[-198.71867,-98.40002,226.17334,-123.27654,-77.111885,219.09985,-79.76397,-46.586514,710.5551,749.9879];128.19586;128.19586;True
[-742.0904,-611.93774];-677.0141;-677.01404;False
[-182.3239,448.34433,-72.02107,-136.95679,-462.76965,892.1994,-230.91609,-189.57852,609.3297,-42.796024,737.2842,-520.42084,127.780014,-836.8478,129.73389,780.1244,257.64175,-174.05626,610.79443,-430.7637,-875.5864,606.1913,126.41511,-649.64465,698.50995,-482.14008,-197.51414,258.71774,119.67502,-634.4955,-942.06335,-653.75354,-193.63664,-880.31165,-30.001936,-124.42362,908.01105,93.68039,-951.8222,842.7573,183.50899,950.54614,5.1492777,-729.55597,227.0831,-451.7401,-143.1112,948.1471,-886.8252];-31.519434;-31.519436;False
[41.212666,-128.85164];-43.81949;-43.81949;True
[-771.0537,779.7776,-901.9945,-452.92322,373.4252,-800.43243,-993.55817,-72.86015,-834.62244,306.72855,-539.18005,620.1739,604.1777,558.48804];-151.70384;-151.70384;True
[-333.80106,-169.92435,211.29272,-217.81448];-127.56179;-127.56179;True
[972.4456,-123.95657,-110.7355,-65.61002,55.266254,357.26117,-543.8784,768.8389];163.70393;163.70392;False
[-940.7195,-427.1845,17.084322,-753.9768,-965.2008,-28.807175,-715.6417,529.22626,297.03784,-519.4024,-348.8048,-127.8967,-433.53345,850.3929,756.7992];-187.37515;-187.37514;False
[134.99812,708.2214];421.60977;421.60974;False
[-708.7923,746.6018,-14.487001,-741.3392];-179.50418;-179.50417;False
[-856.09875,-438.43198];-647.2654;-647.2654;True
[501.07587,665.2024,216.90012,-362.8297,29.480698,-64.35488,780.38226,-976.80255,843.80084,-349.72372,-715.5046,-245.91995,-419.99496,-633.45526,-673.04803,-700.8005,985.88275,718.0445,-775.0355,857.1751,-291.85754,-593.0701,177.5201,-806.5355,-126.54254,65.6723,-778.8545,-872.63477,-677.59357,-916.07855,-809.35284,280.78278,-549.04004,-454.93585,-976.73175,-968.7914,272.3671,528.401,434.15475,3.9307911,-467.0017,206.68889];-181.88162;-181.88164;False
[865.23444,652.46014,-73.48278,946.0415,472.95367,116.14653,-959.69684,576.47675,-623.0797,-691.10144,944.5121,-29.379313,-519.26416,246.19933,963.10046,-892.4655,-692.13043,294.10834,951.85455,131.66292,312.00763,-876.1635,116.72376,87.74092,279.132,-872.91425,768.03174,-232.50386,664.408,96.65656,-985.22455,-108.40336,357.34995,-732.15607,-40.135815];43.277134;43.277122;False
[984.7253,767.6564,-735.9181,-534.5222,-648.171,160.92278,-353.00525,89.44981,-224.85901,-132.27039,983.8861,840.0386,402.0543,426.48306,-883.5168,-33.08387,-794.6879,-976.0733,-861.1102,-169.63197,313.42294,-73.69716,-681.4792,68.001884,164.52599,405.0005,-178.15836,-436.2881,-328.4888,657.482,859.4736,-970.7373,-982.159,546.5483,-296.8802,987.37164,-552.3408,115.76738,-822.8435,-263.8143,-529.5854,786.15607,-309.37704];-74.73797;-74.73796;False
[-512.6469,-337.77505,-52.614853,862.2887,741.47687,-510.35532,81.58721,-470.3234,-227.1577,847.74066,530.2293,674.7714,-792.33954,496.10983,52.423355,532.8073,-654.8573,-451.2966,-336.0425,-872.55963,-31.071394,-195.84296,842.2607,-623.96826,-198.5019,629.5213,542.47284,-208.30365,-661.3101,-173.59206];-15.895654;-15.895655;False
[-739.4869,-178.83655];-459.1617;-459.1617;True
[-6.226711,716.9805];355.37692;355.37692;True
[-291.75616,937.46277];322.8533;322.8533;True
[-451.80984,126.73439,878.2108,-254.92426,802.0968,692.51447,-470.1874,-427.94086,400.33392,460.85413,-612.2503,526.9556,633.5773,192.4181,83.93902,439.85208,-334.82404,-259.7632,291.405,-201.5929,-838.70825,746.2352,-651.01196,-29.701998,487.09592,-119.786285,520.2559,576.54846,0.3336684,565.1896,403.28015,921.56006];159.27779;159.27779;True
[387.04514,181.21364];284.1294;284.1294;True
[-62.47427,-136.63197,-784.665,177.80551,-692.9056,-493.86514,194.20317,167.09485,651.98663,-225.41609,457.21713,790.9996,-231.65504,542.694,732.45703,-348.2419,295.71704,932.7764,847.3682,922.1587,369.50272,-537.5148,-114.830414,-452.4264,-583.2862,119.5172,-363.54053,-848.163,-303.81866,389.4547,-825.305];18.910091;18.910091;True
[94.048,539.5215];316.78476;316.78473;False
[878.6953,-785.3956,-593.8836,475.71637,889.1048,-174.08566,-565.8566,-566.2396,-0.46481746,698.43445,-373.04324,-774.9077,-123.7753,-446.43784,594.9461,-462.88705,815.9821,-467.37836,721.4161,12.75494,-37.322826,-481.41107,-65.41844,-7.5038967,149.52626,202.46274,961.3457,-792.1622,392.13687,-578.3135,596.6133,-123.49779,-34.522823,659.354,461.34534,292.18472,-531.35913,16.759655,-775.4874,-293.2266,314.47885];1.9189379;1.9189379;True
[-890.98425,-839.48425,-821.013,179.19841];-593.07074;-593.07074;True
[732.2081];732.2081;732.2081;True
[789.5952,-529.9578,-584.62946,678.3849,-267.93137,-674.786,-744.042,-325.6928];-207.38242;-207.38242;True
[-764.20197];-764.20197;-764.20197;True
[-778.8466,-82.65004,-785.4613,761.66974,-596.1399,427.0732,-836.03595,-864.09436,-202.75287,991.0616,-686.81537,-679.2694,-79.46382,747.15546,-47.030334,751.08234,-251.37595,-77.92628,293.7835,-997.9892,-348.00726,-432.81543,-829.4981,-268.11017,-69.97151,-271.84525,31.851002,-586.82556,-845.14905,-374.55835,827.1801,-544.00964,411.8963,682.3596,678.5675,-754.1437,-294.86377,309.71747,814.1515,-654.6436,-711.0419,-759.2113,-861.03235,650.59503,495.37003,-92.3575,32.464756,646.78253];-127.316124;-127.31613;False
[377.617,-137.2828,667.0394,-71.778015,-638.23755];39.471603;39.47162;False
[-868.52454,290.5244,637.7219,-672.6839,539.5533,28.827316,825.39935,-710.1634,-2.4540553,-415.97983,268.75363,-784.7579,-269.47543,-802.3509,974.06604,760.3175,-170.05594,348.36658,878.2678,275.9688,951.1992,113.879906,818.0962,982.5586,-43.626793,470.47885,145.15646,485.92554,482.21964];190.93822;190.9382;False
[97.79698,67.48903];82.643005;82.643005;True
[26.831858,510.0857];268.45877;268.45877;True
[-517.0871,595.4048,-644.06995,453.51996];-28.058071;-28.058075;False
[-672.501];-672.501;-672.501;True
[-272.5254];-272.5254;-272.5254;True
[-100.25969,617.9593,39.98234,625.4472];295.7823;295.7823;True
[-643.3018,360.5327,-786.9461,188.1971,-915.74347];-359.45233;-359.45233;True
[-949.0462,236.37585,-585.12006,955.7178];-85.518166;-85.51816;False
[-13.272075,-519.0793,-1.2031353,-216.98267,685.7761,-957.9555,625.90814,-562.97266,179.1653,974.37177,-629.6164,-120.176834,-357.14682,193.50981,-230.08508,-109.98167,-85.150154,636.62494,-687.03186,149.27916,-97.80358,-263.77518,943.7743,-81.99163,153.28261,521.0865,910.79];38.494225;38.49422;False
[-55.406303,-362.99374,-281.55286,-235.79056,34.73026,-300.92456,-642.81244,437.0084,75.310646,-259.91843,392.16522,-839.8697,-824.3437,-937.26184,-872.1558,695.3012,-640.3092,161.60693,765.22974,301.6335,-254.98077,-155.42448,-984.5228,-122.299385,46.220367,-617.9448,585.9616,-786.9737,669.25903,-9.644894,-751.90094,605.6421,-623.18475,-190.79301,-184.65184];-176.15976;-176.15976;True
[-345.43726,287.68243];-28.877398;-28.87741;False
[552.24854];552.24854;552.24854;True
[-560.921,-606.28906,588.9156,175.0056,-276.75302,-42.054073,-959.24036,-957.98694,910.8087,-338.87454,593.9276,-409.32205,-830.2584,674.1852,896.0182,-483.43558,-648.98804,-154.68575,205.0448,969.99005,640.85175];-29.241018;-29.241028;False
[-335.69016,649.26996,82.491196,629.5346,-924.24347];20.272438;20.272425;False
[-188.62889,-20.503906];-104.5664;-104.5664;True
[753.4282];753.4282;753.4282;True
[-972.8905];-972.8905;-972.8905;True
[274.82043,-56.096935,932.719,-445.05667,363.73657,-74.6656,-412.43433,-747.4643,195.10616];3.4071467;3.4071536;False
