x0;x1;x2;y;y_hat;right
"7_7\\l>~PKl/igC9ZjDBEB3f1pUR<Ubgj3'fyM[05Hf lwF7\t";"z.`u|c";"{";False;False;True
"q(6W68r&N+elM*;~.J\"S|7$bRa\n";"#T}\"L:&~ihld5vNmibX`On72>2GU4eV?a'\n";"<qVB)Px4>^Woi";False;False;True
"EveTYO";")@jUF?LJ+z^w>@q<nDAo";"#(}~";False;False;True
"\tO7oEQ<C";"<b&s7\nCYz*2(,Yi}k,";"<?JhJ8881\tYw5Vjf>QteJiG5|";True;True;True
"=i;(mA!yYW.Vo#a";"mU~usEr nYOOL`j";"\n5(\tX)YqV_ &p(=p\tO4gZ|fH8qAv3q'>\t-k|?&afFQ \tCC";False;False;True
"|1NVOoKbGs<U_zf A|9w)]oM4";"hEG><azyQY/De";" >\t$1H\nr=~L=X&^WS37nhg";False;False;True
" ZO'6P.~bR[NDZ7s:a} m!o\t6TiV8hbkfD?[S]Cm(V{N^mf@";"";"9%v`3/-";False;False;True
"U_Gey.*%R/Kua1";"U_Gey.*%R/Kua1";"U_Gey.*%R/Kua1";False;False;True
"qU3b-!g~sCUTaltHd {%,j.i[=Y4>na5n}&";"1'&=hMjv<a";"v2_TV![hnLoL\nn+fh:b2H0@OD_V.BJ^I=b%&1tl-y";False;False;True
"3 sAJ!\"";"cHPf YR&0*XFuMO\nk#4TuhC0tx;Rbw@|w-HT$";"gExnJ{A%_t E\\Ix/7";False;False;True
"vf8c_nc2W]a=L2jT\nE_r6\"aCNg\t)Y7c-T<95&~0h-+drM";"dGt%2C*Tlei%9F0?Pci(Q}K(/$1";"s;nB";False;False;True
"8g;r7 DCn\"kX]tjE&Eb7}T.g5Y:aS\"\nom5%\\l";" ^r(s+6\\&+ }E";"2dGk.ZTkvt.WaMmxp3d\\<-)OlsNpVa`";False;False;True
"la6>yAF4x<z";"'uWXGG%H%3`y6Jd{nn2]";"g<bj+;_:rK.p&=ZoH!H+=>9$h iv:1BasvUe7aRF|=l";True;True;True
"=/0?<-\\!@9f+;@;D)K";"@b]";"AkB7MR\"dALzgJ\t?#Fi>5%M+*>~\\ 1d3E{xP ^q>!(|<^\tX9";False;False;True
"zs[b9\\v '+m15|m>~iU;C1PzD$Yp=";"Tb.GD%}{'b1>*vg2sCFN'H'%SG6@F</2bfPh a`?2aQkI]u`";"2yD-o?)kY&Ug";False;False;True
"j\\+7\tZ";"Q2;TdWR0vrdQE}aBr";"WM(!p1#]n|8 \\#+/st,?Z!1[vsH(ROj2>ew";True;True;True
"L8llw&(S2pBw=kA1";"L8llw&(S2pBw=kA1";"L8llw&(S2pBw=kA1";False;False;True
"j+WGA,rFWM\\4Qw{1Y1z3RJNIwKW?";"qh1e[R]\tCIsN??9\na*q+GR`j&#{f#y{\nu3VDlv&51";"HQ3'Wac0T{w=\tR=4k4SAVeqI]2DxCONL.;3";False;False;True
"\":\"";",ZCs\n [OH_%)IlKg";"pHSCCZEOVVDgQ~%H[(Z>)qTU 25L<%v";True;True;True
"#Z*C\"A[6-R\n'IP+7?q`0pZ";"3+i0vvf{g{oQFreo6i%*6KaX";"wAe1wJxXi^*f~21?XZuXd2`.g(PlgiWuVa'U)\n>\"b";True;True;True
"i~9";"0nz0\\;Gj8*";"b\n3V`h`pzw]Tc\t9t$5\tKxZ_c+`g:gyUxC";True;True;True
"&pJ%w7yv^ s6";"C S{8tC)hD)k]1M}9`;Z2C";"j<x@Iwzq%(zXp~Kja%>)ik^RgTI[kee1\"";True;True;True
"";"6;\ttnr0";"U8N48ex64%";True;True;True
"_=@Uz_Ytx%<R!Mc?xqW?i";"_=@Uz_Ytx%<R!Mc?xqW?i";"_=@Uz_Ytx%<R!Mc?xqW?i";False;False;True
"]b,$qr@rC7tY&o)n/";"Bv*g/2Zp/NNB3_*#F@&I,U0\\7V$0Xb\"DFwtj\"";"pk\\K{cZZTzfepvu]%2ya<5u/%t^h\\-8JQu8zXC";True;True;True
"+0m'.hLT|M+\"Y2X5r0J&M";"|ByLwT~te+FLqE\\nE~QhY?MmRVwda.?mq8X|IWK-";"qu`O7wOFA";False;False;True
"9L\\hpl!mi@xC6!n--aNt0AG-2";"p,(g\t";"Yv:T1FU8hy,hanhr%2Li";False;False;True
"<*)-7'8%#_zaZPu/\nySO? (Ha{t[hds^r:MkU6";"";"Szf-5+7!y@cLVyK";False;False;True
"\"\n;63>cXs$JCl";"eaqVeVXherDtM7uM$pu[#3@m<i]6";"dLo}/";False;False;True
"c6HA{3C-[R&#IJIX~t(ShYQ";"0gNc|Zh{]vS@";"J";False;False;True
"&\t<!Yi+tNe\nmbaK&aBa{S/E{K9\"[";"`P^V\n-Xi1 H^_kWbvAvCc6b5X9\"*P/:";"dmJ^)sNW8Ls$ELQDThNsWy*UB@db!})M L7Bx";True;True;True
"K";"d:)Y)x cP1#a)x1sHo4=gc9sc\\&z^Fol-i~6=tgV?,";"=#Q";False;False;True
"W{aW9Z1Y5figTJ4?>hv";"'ZoZK1_(dX{~M\n<F$xoZg0V &0A!s5S<:7";"^pkeUs7tqMLFTi";False;False;True
"`jF,S8x;IH?kH\"_h@{3T>/ubyG.H6KJxAJ!yp'[C";"`jF,S8x;IH?kH\"_h@{3T>/ubyG.H6KJxAJ!yp'[C";"`jF,S8x;IH?kH\"_h@{3T>/ubyG.H6KJxAJ!yp'[C";False;False;True
"\nY\\$bm9>#-2sQ0_P?Wnic]h1@S.-e(fKuL5sd%V%`";"\nY\\$bm9>#-2sQ0_P?Wnic]h1@S.-e(fKuL5sd%V%`";"\nY\\$bm9>#-2sQ0_P?Wnic]h1@S.-e(fKuL5sd%V%`";False;False;True
"";"}S>x!4B!v<leY";"@71.(%zNen|)S9':{`Kxdd)H";True;True;True
"W7?1w.Sf?a)ZW\t7No^d?}\ns^yMymmK<]k=jk1tzA%Cewk_!^w";"V>c;^qjEz/r3@T5z\t\tb_YfpIp4]4ip";"J_O%Y^CW8|C4L{A0 Sl-W\nVj7-";False;False;True
"l4vZ>M<+_m1_<'u2Ob863L!}()";"Fx6kYp_2cP7Yxt[Q9k)\t%.G<RDz\tc+F])<)UO5ByY&`(r";",-JY=ahB7i[IUJD$@`&\t1*_Dipd~g";False;False;True
"pKm5a7nPbmsoK.";"z\t";"\t{kBJ>NX`OkqK}\n\\Jt/c;?'OQ`.`";False;False;True
"_9Q5] p`V6t_k {LncxGn.5kG}X{ bM4Pv#XK";"5Pi';oFk5SMltO,\n+pM7&8sV@'(nn";"CW8y{i(gCqFJ85~:>V=oc,AH%?V+?VYB^B_ z--vzI";False;False;True
"Rr;-Nfy\":n^8c~}uL.wC)sJ##lzj-UTwlUbbIFwu 5w";"Rr;-Nfy\":n^8c~}uL.wC)sJ##lzj-UTwlUbbIFwu 5w";"Rr;-Nfy\":n^8c~}uL.wC)sJ##lzj-UTwlUbbIFwu 5w";False;False;True
"o~hF\"i#MX@l<";"1&fdx:zDoN]_newDo";"`N[T\"7&";False;False;True
"n=+r1ZhAoqCH}wHT,.AUQ)ZY@(b-I]HS!$8bRz";"}}=`HMLwk ";"|I\\6+6$bWvcph;qkP$<O.2B=< 5:|($W2jp<KN";False;False;True
"t!sbUZXT\"%Vy:0E4";",{F&;\n~'hpMo~n\nKwDVdYwN<%k_(D/[=,kC";"EH{F  L$9;9ds!A^c$aTJ&)'YHomb\"=b=x";False;False;True
"rxD15_fLu.!<8RnnMHhXcV{";"z5FRURX+'VodgSU.UjLQlBP0?vPTE}P7m\tjr]X-0{g+,";"zaB9nU6S,9}<'<N\t3Y%*;sw4c6\"E@9WLT,YT\\~BI\n0pP";False;False;True
"ANO8>9p\\y_VR[dgZ=>.%y.eq/>Og*";"ANO8>9p\\y_VR[dgZ=>.%y.eq/>Og*";"ANO8>9p\\y_VR[dgZ=>.%y.eq/>Og*";False;False;True
"]p@purQ6'[=8";"]p@purQ6'[=8";"]p@purQ6'[=8";False;False;True
"\n";"Tq+";"dr&H\"V@PE0:o]zBS!sJ+oPx{T@$i$(8J";True;True;True
"";"R_+";"AX$;j\"-HL+nHi)20UZAwTbm4aA&sv.)8Y3@AY";True;True;True
"9GZC!@Ps[$P+r9@n%";"EFa/6A;_H\"`-?1ll7>k*$S";"ZkUUWMf\n!J\\7:.q~Tqli(e8vx&wvSX=KJa(8)@JM\"F";True;True;True
"\"@H&GRdd>\n=C<_(Mg;LGAh\nJ]A";"iA:( _~ZYpnOMBg4\">nkwJLWK0kDi_\n9u.$\t)wub'p^";"2,7JJ]T}`@!,`YGOekpTxaV]y@3DFxeU8t]?]NgQW?MfY>1";True;True;True
"Qj}.DTYx8.y";"ruE6!6:SayOK <6Z>cpeE$?y*1+!";"tn'N4w6aTo)JXK`\n<M^q]\"}GC%!kjw/O,=3{\\d(4{*\tp";True;True;True
"fr #L R\\4)9}XaUfIV2)-l&";"u-hi8><?==9/z\\p_o?D4>BQyI9[";"3p>gUDscq7Wc+F /^cque#Mn7Gnl-19PCVATqUqG5\\7";True;True;True
"rB*D5a, RCrap+";"8O]!]\tw&gwOs#uO[l";"eVifHh20OQ8x(N_&_qGY;n";True;True;True
"70|2L~3r':i~%Q(hI1Ng/m>7Q7i+tR";"FTb+aI(J8ocI?bs!]$P/5,^h!O!'rk:|kihJU-7&/$\t!<R";"56LE`0QD.\\zdb:]e?RL}";False;False;True
"*cMRIus84]";"x)BI#Dix2acsoN\tUk\"F{OD]5";"%4p!%BVe!@2<$3cGp|:^}2 RC~wF-t:_-xPqI(BRBn:2";True;True;True
"=sji<F[]l|]H?P\\jC q?TS$";"a?&Nx> x:39";"].CLmX4\nO0SD&Dx\"#x.z(rw3fK6=W";False;False;True
"mDr{=/CE=93N";"\\=feX2;%k]";"lB`N#1PItzkoh`0\tJj";False;False;True
"E0\tu\\\\5sjoFRMki>_$j)<JsO1Z6l{8bRRDC*>5gPh";"{0grnM}\\pVgRQwAC3fnQN%-H-!pz;/V4+Ai";")kGK,5'-&cB|o.eI)N*=eDI2\"MyB`=YF";False;False;True
"U}h>RQ,o6o[LoeK(j8%n";"lo?L{5b\"r~_&E/c=}L|,F\"tZ7]NDFjf>wt+p a}78@dx";"<JHjd\"~?bNo\"M$W}Q2GQ`]]5uP}T(%h'(gVPY7M(ny\tvj";True;True;True
"\"Fk1Ka#dtRq.AcG)N#(r\tX2F6|St0(BT*-ICrx0:rt%";"V\tQKg':W&sfw.";"";False;False;True
"GDU$o1oqO\n-";"%.\\wKRLjM+";"Zp?7&v2\\fr|TS2'>8EO0n_,cLl\nRlQ&8[:/U";False;False;True
"VBi";"(vxL[EcAM!P)LyoB+J*wRtu4z}0/2m+p4j";"-5KezlM'ZB5~\\:rUDMz6dYiGUY!m88^mHHJe=\t!Nke98o{";True;True;True
"E3G)bV78:w=^Xx9fX^T\\V]G@tZo&%W;\tLr3-7";"{G<n4Z%.cN_}p*Dv#!wPFbnLJeM&! I)D=-T2%y6F";"|h`{)qd";False;False;True
"}w,=*/My_(!#bd6hC";"6'[hJHOQ)*3k]\n\\.#'9&>{U^";"79MG\n_Wy\\K1[!at| `$\n_B7%;Ai(wkXz@}d{@dQ,R /";True;True;True
"&XC%ji*]Dr.n$+sU&f7\n`~MlBM >r";"avS'w1t'B_0=x{";"&4g";False;False;True
"7LT;_Z+M2xKILjh,%f{{snnOz) \\#?pUSH";"mJzTyV~Y&5@~n77ROIGgaPN+\\E8r4~cu\\2C_>12RAo<Y";"0A<sR,1~uHQkR|gg>@MgB\\r!!IuQ4(4";False;False;True
"h\t<JA5&Mu0Lli@9gL_(_#HRqY1sd@,}Z#A=lN]H2dG<aY";"vAHbS07";"ZK2Zc&\nhr0~yDi";False;False;True
"<";"u;kLCL-~<Kvp!rcmVUv0H\n{}bR]g";"IpJN^Kcy,\\&-=H,qp,<Al^jngxxB1IkkH@AM^on";True;True;True
"'@|0NGw^:G\"L$_o29v]dlx:Df]z64s#Z6";"'@|0NGw^:G\"L$_o29v]dlx:Df]z64s#Z6";"'@|0NGw^:G\"L$_o29v]dlx:Df]z64s#Z6";False;False;True
"";"E@_X6zE)]`nG$Uhvc%g7bM#|eO\tX\\jde]L\tEo1kRqpyyp";"M0=-SZb";False;False;True
"CrYV2MVj^0wUx2elF'v7BHD0&d`.F6kXN0]YG";"(cP=Y.xOz3B?80^D.4bVV.88m_(*r\nnH/bFho*&vod/\\(\\W0M";"uzcwB.. GZ=(v\t k9[E2>b_S";False;False;True
"+^iv9].Xq6h$g\td";"geD]>V;?l|,wx o=";"#LV0<=H,\"HiQME^gM#l8>p/mio";True;True;True
"4B[qf_z]2(V:cI{";"[X/t!.WLb*!^I>%i'8~U[X3'WrPDeD~r,F4D7\tw<|_";",v]%NBL/vVNw~4Joh.#{z!e%`1Ku!zyy/e$A[+s!3S{Q'{`";True;True;True
"";"i9k/!";"#2q9pn\\I?&-";True;True;True
"nB";"shNTj>rIL|LV&U\\>SXp\tfLFjz(>b/NR`7}v(frpf";"rd4>L#kmUau,TZ\\v3=%D+liE4[_S}{{0Ab8&+|l";False;False;True
"Wx'*Eb ^'";"E$j&&2rE8`pLuz*WF`0N\\+(";"$mZ\ta3b=u#5lLbmg.;*1}jl-Hn+?puA-";True;True;True
"R4~&}~6ZwT@";"R4~&}~6ZwT@";"R4~&}~6ZwT@";False;False;True
"\n(^e`U{";".LS:wR_kV=Zki&m/w?CN`do}@!KZ*%8[DtrBqL+47?8Ugr/i<";"5(3~=Qlr=%Hrq";False;False;True
"$P R7z`@o7R@cI!D14M-W\tn?)>x>xT2- <.NvwRXY<>hEJ>06";"zY(xOE]~@_aUwrub,nX{<3w^A\"_qo]ozEeC\"Oc_G!drdIA\t0";"pOA*(F\"Hf~6l;Z1<`F<tEjke";False;False;True
":qv!57.98~ytF@qCRrHurg\"T}yytmL";">8u";"";False;False;True
":2%%%TM2q<wxJM\"*$vXo=>:=N|WcA02>5qjB!v%;!U>\nJU`H";"k|+";"0N/2Mx>C*";False;False;True
"NDE;";"x=VY~R77N";"W\";.P ;'`|{4i'[?ML@Cn0&\n*|{>#@";True;True;True
"so0kZ\\oRa?q}^>ZvCaJ";"y>CFMrWCH4Wrg{+";"/xl&O[TOa.=Fv'5}SG$y:O60\tb";False;False;True
"b3aIf]bR7dZI<[*vR7(^9J#;$E>SEMok^8JUa:!=\\C-/s|1!J";"<984r/'Xw@c@?eiZiAdZ><";"yfqcK;\t)\tfA+?`P'pb}V3\n";False;False;True
"{V=i-%EY\t\nS5wM#Q.Jkgt";"X?1,y.}aa^V}}Uw2QZvZz9MA";"t{(zqbZMX=07eLT4+u,I-%iQH-($#";True;True;True
"Z=x2,;}gyk.xu|EtI!`[d?Q\\)':/?3/ejaD";"1+x5uQ7{guh6d.6t|5TuwT4Tbsv\n}NE:>.FTgrDJa4h<w";"=]mae%UXMU-K^Sb\\x&U9nqw#f8>g\"a!n<8,F:S;&h,207";False;False;True
